user_input,retrieved_contexts,response,faithfulness,answer_relevancy,llm_context_precision_without_reference
Какое действие считается моментом Активации ПВЗ?,"['ОФЕРТАоб оказании услуг в ПВЗ\n1. Термины и определения\n1.1. Активация ПВЗ — процесс, в результате которого ПВЗ Исполнителя становится действующим, моментом\nАктивации ПВЗ признается получение Исполнителем подтверждения от Заказчика о возможной Активации в\nсоответствии с п. 3.2 Договора.\n1.2. Аудит ПВЗ — действия, совершаемые различными способами Заказчиком по проверке соответствия ПВЗ\nИсполнителя в части соблюдения Регламента состояния ПВЗ.\n1.3. Баланс — сведения, отраженные в Личном кабинете Исполнителя о начисленном Исполнителю\nвознаграждении за оказанные Услуги, с учетом сумм неустоек (штрафов) и возмещаемых Исполнителем\nзадолженностей, а также с учетом суммы иных обязательств Исполнителя перед Заказчиком.\n1.4. Блокировка ПВЗ — частичное ограничение функционала Портала в отношении ПВЗ, применяемое в порядке,\nпредусмотренном Договором.', 'ОФЕРТАоб оказании услуг в ПВЗ\n1. Термины и определения\n1.1. Активация ПВЗ — процесс, в результате которого ПВЗ Исполнителя становится действующим, моментом\nАктивации ПВЗ признается получение Исполнителем подтверждения от Заказчика о возможной Активации в\nсоответствии с п. 3.2 Договора.\n1.2. Аудит ПВЗ — действия, совершаемые различными способами Заказчиком по проверке соответствия ПВЗ\nИсполнителя в части соблюдения Регламента состояния ПВЗ.\n1.3.', 'Активация ПВЗ происходит с момента\nполучения Исполнителем сообщения об активации, и ПВЗ считается действующим с такого момента.\n\n• Заявка отклоняется с указанием причин отказа и рекомендаций по их устранению.\n3.2.2. В случае получения Исполнителем отказа в Активации ПВЗ, Исполнитель вправе повторно подать заявку\nна Активацию ПВЗ в установленном Договором порядке.\n3.2.3. Основанием для отклонения заявок на открытие и Активацию ПВЗ в том числе могут являться:\n3.2.3.1. несоблюдение требований, указанных в Регламенте состояния ПВЗ;\n3.2.3.2. предоставление ложных (недостоверных) сведений; сведений, содержащих противоречивую,\nнеполную информацию; не предоставление документов или предоставление документов в нечитаемых форматах,\nвключая случаи, когда документ(ы) не открываются на ЭВМ, либо открываются с ошибками, не позволяющими\nознакомиться с содержащейся в них информацией, а также информацию, находящуюся в документах с низким\nкачеством изображения, не позволяющим изучить такую информацию.\n3.2.4.', 'ОФЕРТАоб оказании услуг в ПВЗ\n1. Термины и определения\n1.1. Активация ПВЗ — процесс, в результате которого ПВЗ Исполнителя становится действующим, моментом\nАктивации ПВЗ признается получение Исполнителем подтверждения от Заказчика о возможной Активации в\nсоответствии с п.', 'Активация ПВЗ происходит с момента\nполучения Исполнителем сообщения об активации, и ПВЗ считается действующим с такого момента.\n\n• Заявка отклоняется с указанием причин отказа и рекомендаций по их устранению.\n3.2.2. В случае получения Исполнителем отказа в Активации ПВЗ, Исполнитель вправе повторно подать заявку\nна Активацию ПВЗ в установленном Договором порядке.\n3.2.3. Основанием для отклонения заявок на открытие и Активацию ПВЗ в том числе могут являться:\n3.2.3.1. несоблюдение требований, указанных в Регламенте состояния ПВЗ;\n3.2.3.', 'Активация ПВЗ происходит с момента\nполучения Исполнителем сообщения об активации, и ПВЗ считается действующим с такого момента.\n\n• Заявка отклоняется с указанием причин отказа и рекомендаций по их устранению.\n3.2.2.', '3.1.4. Исполнитель обязан при подготовке к открытию ПВЗ выполнить все условия и требования к состоянию\nПВЗ, указанные в Договоре и Регламенте состояния ПВЗ, в течение 30 (тридцати) календарных дней с даты\nодобрения заявки на открытие ПВЗ.\n3.1.5. Заказчиком устанавливаются зоны открытия ПВЗ в соответствии с Тепловой картой, которая учитывает\nнагрузку на действующие в данной зоне ПВЗ и плотность населения в конкретном районе. Размещение в одном\nстроении/здании более одного ПВЗ не допускается, за исключением случаев, согласованных с Заказчиком.\n3.2. Активация ПВЗ\n3.2.1. С момента одобрения Заказчиком заявки Исполнителя на открытие ПВЗ и выполнения Исполнителем\nусловий п. 3.1.4 Договора Исполнитель вправе подать заявку на Активацию ПВЗ через Портал. Заявка на Активацию\nПВЗ должна соответствовать требованиям и содержать документацию, указанную в Регламенте состояния ПВЗ.\nПосле окончания проверки Заказчиком принимается одно из следующих решений:\n• Заявка Исполнителя на Активацию ПВЗ считается одобренной.', 'Размещение в одном\nстроении/здании более одного ПВЗ не допускается, за исключением случаев, согласованных с Заказчиком.\n3.2. Активация ПВЗ\n3.2.1. С момента одобрения Заказчиком заявки Исполнителя на открытие ПВЗ и выполнения Исполнителем\nусловий п. 3.1.4 Договора Исполнитель вправе подать заявку на Активацию ПВЗ через Портал. Заявка на Активацию\nПВЗ должна соответствовать требованиям и содержать документацию, указанную в Регламенте состояния ПВЗ.', 'После окончания проверки Заказчиком принимается одно из следующих решений:\n• Заявка Исполнителя на Активацию ПВЗ считается одобренной.', '2. Правила Активации ПВЗ\nПредоставьте видеообзор ПВЗ для подтверждения брендирования, в котором необходимо\nпродемонстрировать:\n• адресную табличку дома;\n• панорамный вид окрестности;\n• фасад с вывеской и режимом работы;\n• клиентскую зону (зону выдачи/приемки Товаров, примерки Товаров Клиентами) полностью;\n• складскую зону (зону местонахождения Товаров) полностью.\n3. Требования, предъявляемые к ПВЗ Исполнителя\n3.1. ПВЗ – помещение или часть помещения, здания, дома, находящееся у Исполнителя в собственности или во\nвладении и пользовании или на ином законном основании, в котором Исполнитель непосредственно оказывает\nУслуги.\n3.2. При Активации ПВЗ Исполнитель обязан предоставить правоустанавливающие документы на помещение\nЗаказчику, выписку из ЕГРН или технический план БТИ или иные документы. При этом выписка из ЕГРН должна быть\nполучена Исполнителем в срок, не превышающий 1 (один) месяц до даты Активации ПВЗ. Заказчик оставляет за\nсобой право запросить дополнительные документы.\n3.3.']",Моментом Активации ПВЗ считается **получение Исполнителем подтверждения от Заказчика о возможной Активации**.,0.75,0.8922428726314973,0.8857142856995238
Что понимается под Блокировкой ПВЗ согласно оферте?,"['ОФЕРТАоб оказании услуг в ПВЗ\n1. Термины и определения\n1.1. Активация ПВЗ — процесс, в результате которого ПВЗ Исполнителя становится действующим, моментом\nАктивации ПВЗ признается получение Исполнителем подтверждения от Заказчика о возможной Активации в\nсоответствии с п. 3.2 Договора.\n1.2. Аудит ПВЗ — действия, совершаемые различными способами Заказчиком по проверке соответствия ПВЗ\nИсполнителя в части соблюдения Регламента состояния ПВЗ.\n1.3. Баланс — сведения, отраженные в Личном кабинете Исполнителя о начисленном Исполнителю\nвознаграждении за оказанные Услуги, с учетом сумм неустоек (штрафов) и возмещаемых Исполнителем\nзадолженностей, а также с учетом суммы иных обязательств Исполнителя перед Заказчиком.\n1.4. Блокировка ПВЗ — частичное ограничение функционала Портала в отношении ПВЗ, применяемое в порядке,\nпредусмотренном Договором.', '1.4. Блокировка ПВЗ — частичное ограничение функционала Портала в отношении ПВЗ, применяемое в порядке,\nпредусмотренном Договором.', '– 8.5.5. Договора.\nБлокировка выплат ПВЗ вводится с даты направления Исполнителю уведомления о Блокировке выплат ПВЗ и до\nдаты прекращения проводимой Заказчиком проверки и/или устранения, допущенного Исполнителем нарушения.', 'В случае подтверждения обстоятельств, указанных в обращении\nИсполнителя, Блокировка ПВЗ прекращается Заказчиком.\n13.4. Заказчик вправе осуществить Блокировку ПВЗ Исполнителя по инициативе Исполнителя в случаях, если у\nИсполнителя возникли или могут возникнуть обстоятельства, препятствующие исполнению Договора в полном\nобъеме или частично, в том числе: у Исполнителя возникли проблемы с использованием ПВЗ (аренда или иное),\nИсполнитель готовится к переезду в другой ПВЗ или осуществляет ремонт в текущем ПВЗ, либо по иной причине.\n13.5. Заказчик вправе применить к Исполнителю Блокировку выплат ПВЗ, в случаях проведения Заказчиком\nпроверки Исполнителя на предмет нарушения Договора и/или выявления Заказчиком нарушений Исполнителем\nтаких условий Договора, как снижение Рейтинга ПВЗ до Минимального значения рейтинга ПВЗ, не предоставления\nнеобходимых документов в соответствии с п. 8.5, включая п. 8.5.1. – 8.5.5. Договора.\nБлокировка выплат ПВЗ вводится с даты направления Исполнителю уведомления о Блокировке выплат ПВЗ и до\nдаты прекращения проводимой Заказчиком проверки и/или устранения, допущенного Исполнителем нарушения.', 'за исключением случаев\nвыполнения Исполнителем направленных ему до Блокировки ПВЗ Поручений по приему и выдаче Товаров.\n1.5. Блокировка выплат ПВЗ — частичное ограничение в отношении ПВЗ Исполнителя, применяемое в порядке,\nпредусмотренном Договором.', 'Под частичным ограничением функционала понимаются в том числе временные\nограничения на объем доступных операций и функциональные возможности Портала, не позволяющие Исполнителю\nпринимать Товары в ПВЗ, а Клиентам выбирать ПВЗ Исполнителя для получения Товаров, за исключением случаев\nвыполнения Исполнителем направленных ему до Блокировки ПВЗ Поручений по приему и выдаче Товаров.\n1.5. Блокировка выплат ПВЗ — частичное ограничение в отношении ПВЗ Исполнителя, применяемое в порядке,\nпредусмотренном Договором. Под частичным ограничением понимаются, в том числе, приостановка возможности\nполучения Вознаграждения с Баланса Исполнителя или временное неперечисление Вознаграждения Исполнителю.\n1.6. Возвратные коробки — коробки для складирования Товара, предназначенные для направления на Склад.\n1.7. Группа компаний Вайлдберриз — любое юридическое лицо, входящее в группу компаний в том числе,\nнаходящееся под прямым или косвенным контролем Общества с ограниченной ответственностью «РВБ»,\nзарегистрированное в соответствии с законодательством Российской Федерации, ОГРН 1247700471919 (далее –\nООО «РВБ»).\n1.8.', '13. Блокировка ПВЗ\n13.1. Независимо от применения штрафов в соответствии с Приложением № 4 к Договору Заказчик в целях\nпресечения нарушения Исполнителем обязательств по Договору, в том числе на будущий период и/или длящихся\nнарушений и/или защиты прав третьих лиц, осуществляет Блокировку ПВЗ в нижеследующих случаях.', 'Исполнитель обязан оказывать Услуги в ПВЗ, независимо от применения Блокировки выплат ПВЗ. Блокировка\nвыплат ПВЗ, применяемая к Исполнителю в соответствии с настоящим пунктом, не ограничивает иные\nфункциональные возможности, предоставляемые Заказчиком Исполнителю в целях исполнения Договора.\nБлокировка выплат ПВЗ не изменяет какие-либо условия Договора, которые продолжают действовать для обеих\nСторон без исключений.\n14. Деактивация и расторжение Договора\n14.1. Заказчик вправе отказаться от исполнения Договора в одностороннем внесудебном порядке полностью или\nв части определенного ПВЗ Исполнителя, при наличии у Исполнителя более 1 (одного) ПВЗ, то есть осуществить\nпроцесс Деактивации ПВЗ.\n14.2. Заказчик инициирует процесс Деактивации ПВЗ в указанных ниже случаях:\nОснования и порядок Деактивации Прекращение процессаДеактивации (еслиприменимо)\n1 Если Доля Подмен за последние 30 (тридцать) календарных дней подрядоказания Услуг Исполнителем в ПВЗ будет составлять более 1% (одногопроцента).', '7.1., 7.1.1., 7.1.2. и 7.2 Договора, если в течение 12 (двенадцати) календарных месяцев или, если в течение 18\n(восемнадцати) календарных месяцев, при получении от одной до девяти Дополнительных выплат согласно п. 7.2.\nДоговора, после Активации ПВЗ произойдет любое из нижеследующих событий:\n• Деактивация ПВЗ Исполнителя в результате прекращения оказания Услуг в ПВЗ Исполнителем по\nоснованиям, предусмотренным Договором;\n• Смена Исполнителя. Под сменой Исполнителя понимается замена Стороны Исполнителя по Договору, при\nкоторой изначальный Исполнитель передаёт все права и обязанности по Договору новому Исполнителю.\nИсполнитель обязан возвратить Заказчику суммы Дополнительных поддерживающих выплат:\n• в течение 5 (пяти) календарных дней до даты Деактивации ПВЗ Исполнителя;\n• не позднее 5 (пяти) календарных дней до даты смены Исполнителя.', 'Под сменой Исполнителя понимается замена Стороны Исполнителя по Договору, при\nкоторой изначальный Исполнитель передаёт все права и обязанности по Договору новому Исполнителю.\nИсполнитель обязан возвратить Заказчику суммы Дополнительных поддерживающих выплат:\n• в течение 5 (пяти) календарных дней до даты Деактивации ПВЗ Исполнителя;\n• не позднее 5 (пяти) календарных дней до даты смены Исполнителя.']","Под Блокировкой ПВЗ согласно оферте понимается **частичное ограничение функционала Портала в отношении ПВЗ Исполнителя**, применяемое в порядке, предусмотренном Договором.  

Оно включает в себя:

- временные ограничения на объем доступных операций и функциональные возможности Портала,  
- невозможность Исполнителю принимать Товары в ПВЗ,  
- невозможность Клиентам выбирать ПВЗ Исполнителя для получения Товаров (за исключением случаев выполнения Поручений по приему и выдаче Товаров до Блокировки),  
- приостановку возможности получения Вознаграждения с Баланса Исполнителя или временное неперечисление Вознаграждения Исполнителю.  

Блокировка выплат ПВЗ вводится с даты направления уведомления Исполнителю и продолжается до даты прекращения проверки и/или устранения нарушения.  

Блокировка не ограничивает обязанность Исполнителя оказывать Услуги в ПВЗ и не изменяет действующие условия Договора.",1.0,0.8277829044125653,0.99999999999
"Какие действия могут привести к удержанию Товаров в качестве Подмен, и в течение какого срока Исполнитель может оспорить факт подмены?","['12.2. Исполнитель посредством функционала Портала вправе оспорить произведенное Заказчиком удержание\nстоимости подготовки Товаров к возврату на Склад, утраченных, утерянных, Зависших Товаров, Товаров с\nнедостатком, или Подмен в течение 7 (семи) календарных дней с момента информирования Исполнителя путём\nразмещения соответствующих сведений об удержании на Портале с помощью обращения, поданного через Личный\nкабинет, с приложением подтверждающих документов, в том числе видеоматериалов, подтверждающих\nнеобоснованность примененной ответственности.', 'Максимальный срок рассмотрения в любом случае не\nможет превышать 30 (тридцать) календарных дней.\n12.2. Исполнитель посредством функционала Портала вправе оспорить произведенное Заказчиком удержание\nстоимости подготовки Товаров к возврату на Склад, утраченных, утерянных, Зависших Товаров, Товаров с\nнедостатком, или Подмен в течение 7 (семи) календарных дней с момента информирования Исполнителя путём\nразмещения соответствующих сведений об удержании на Портале с помощью обращения, поданного через Личный\nкабинет, с приложением подтверждающих документов, в том числе видеоматериалов, подтверждающих\nнеобоснованность примененной ответственности. После истечения указанного срока Исполнитель утрачивает право\nна оспаривание удержанной Заказчиком суммы. Обращение Исполнителя рассматривается в срок, необходимый для\nполного и всестороннего рассмотрения всех обстоятельств, а также получения дополнительной информации и\n\nдокументов от Исполнителя при необходимости, о чем Заказчик уведомляет Исполнителя. Максимальный срок\nрассмотрения в любом случае не может превышать 30 (тридцать) календарных дней.\n12.3.', 'В\nсовокупную Стоимость Товаров, удержанных в качестве Подмен, включаются Подмены, по которым Исполнителем\nне был оспорен факт подмены Товара в период его нахождения в ПВЗ Исполнителя в течение 7 (семи) календарных\nдней с момента обнаружения Заказчиком Подмены', 'В\nсовокупную Стоимость Товаров, удержанных в качестве Подмен, включаются Подмены, по которым Исполнителем\nне был оспорен факт подмены Товара в период его нахождения в ПВЗ Исполнителя в течение 7 (семи) календарных\nдней с момента обнаружения Заказчиком Подмены и/или Исполнителем не было предоставлено Заказчику\n\nдоказательств отсутствия подмены Товара в период его нахождения в ПВЗ Исполнителя.', 'В\nсовокупную Стоимость Товаров, удержанных в качестве Подмен, включаются Подмены, по которым Исполнителем\nне был оспорен факт подмены Товара в период его нахождения в ПВЗ Исполнителя в течение 7 (семи) календарных\nдней с момента обнаружения Заказчиком Подмены и/или Исполнителем не было предоставлено Заказчику\n\nдоказательств отсутствия подмены Товара в период его нахождения в ПВЗ Исполнителя. Заказчик предоставляет\nИсполнителю через Личный кабинет всю необходимую информацию о Доле Подмен Исполнителя, ее снижении или\nувеличении в течение периода оказания услуг Исполнителем в ПВЗ.\n1.12. Зависшие Товары — Товары, которые не приняты Исполнителем, или не выданы Получателю согласно\nПоручению, или не возращены на Склад в Возвратных коробках.\n1.13. Заказчик — одно из перечисленных в настоящей Оферте об оказании услуг в ПВЗ юридических лиц Группы\nкомпаний Вайлдберриз, зарегистрированное в юрисдикции страны по месту государственной регистрации Заказчика:\n1.13.1.', 'Товаров с\nнедостатком, или Подмен в течение 7 (семи) календарных дней с момента информирования Исполнителя путём\nразмещения соответствующих сведений об удержании на Портале с помощью обращения, поданного через Личный\nкабинет, с приложением подтверждающих документов,', 'В случае поступления по указанному Заказчиком адресу\nТоваров с недостатками (включая, но не ограничиваясь: частичное повреждение, неверное вложение) и/или Подмен,\nИсполнитель обязуется возместить Стоимость Товаров с недостатками и/или замененных на Подмены.\nВзаиморасчеты по недостачам и недостаткам Товаров производятся Сторонами в соответствии с условиями\nДоговора.\n14.10. Утвержденная Заказчиком заявка Исполнителя на осуществление процесса Деактивации ПВЗ не может\nбыть отозвана Исполнителем. Данное условие не лишает Исполнителя возможности осуществить Активацию нового\nПВЗ.\n14.11. При расторжении Договора по любому основанию Исполнитель обязан передать Заказчику Товары,\nнаходящиеся в ПВЗ, по первому требованию Заказчика в течение 3 (трех) календарных дней с даты получения\nсоответствующего требования, а также предоставить доступ представителям Заказчика к Товарам в ПВЗ для\nпроведения инвентаризации. В указанном случае Стороны проводят сверку по взаимным обязательствам и на\nосновании сверки осуществляют итоговые взаиморасчеты в течение 60 (шестидесяти) календарных дней с даты\nрасторжения Договора.', 'В случае поступления по указанному Заказчиком адресу\nТоваров с недостатками (включая, но не ограничиваясь: частичное повреждение, неверное вложение) и/или Подмен,\nИсполнитель обязуется возместить Стоимость Товаров с недостатками и/или замененных на Подмены.\nВзаиморасчеты по недостачам и недостаткам Товаров производятся Сторонами в соответствии с условиями\nДоговора.\n14.10. Утвержденная Заказчиком заявка Исполнителя на осуществление процесса Деактивации ПВЗ не может\nбыть отозвана Исполнителем.', '1.11. Доля Подмен — процентное соотношение совокупной Стоимости Товаров, удержанных в качестве Подмен, к\nОбороту ПВЗ Исполнителя за период времени, определенный в соответствующем положении Договора.', '1.29. Подмена — направленный Исполнителем Заказчику Товар, который не соответствует Товару, указанному в\nсоответствующем Поручении Исполнителю (Заказчиком было зафиксировано несоответствие вложенного Товара в\nупаковке/таре/товарной упаковке Товару, указанному в Поручении).\n1.30. Получатель — физическое или юридическое лицо, или индивидуальный предприниматель, указываемые в\nПоручении в качестве адресата, получающего Товар. В качестве Получателя могут выступать Клиент, Продавец,\nЗаказчик, Перевозчик, Курьер, а также иные лица, привлеченные Заказчиком.']","Действия, которые могут привести к удержанию Товаров в качестве Подмены:

- Исполнитель направлен Заказчику Товар, который не соответствует Товару, указанному в соответствующем Поручении (т.е. произошла Подмена).  
- Подмена определяется как несоответствие вложенного Товара в упаковке/таре/товарной упаковке Товару, указанному в Поручении (согласно определению в 1.29).

Срок, в течение которого Исполнитель может оспорить факт подмены:

- Исполнитель может оспорить факт подмены в течение **7 (семи) календарных дней** с момента обнаружения Заказчиком Подмены.

После истечения этого срока Исполнитель утрачивает право на оспаривание удержанной суммы.",0.6666666666666666,0.6584942304807946,0.99999999999
Какое определение дается термину «Зависшие Товары» в оферте?,"['В\nсовокупную Стоимость Товаров, удержанных в качестве Подмен, включаются Подмены, по которым Исполнителем\nне был оспорен факт подмены Товара в период его нахождения в ПВЗ Исполнителя в течение 7 (семи) календарных\nдней с момента обнаружения Заказчиком Подмены и/или Исполнителем не было предоставлено Заказчику\n\nдоказательств отсутствия подмены Товара в период его нахождения в ПВЗ Исполнителя. Заказчик предоставляет\nИсполнителю через Личный кабинет всю необходимую информацию о Доле Подмен Исполнителя, ее снижении или\nувеличении в течение периода оказания услуг Исполнителем в ПВЗ.\n1.12. Зависшие Товары — Товары, которые не приняты Исполнителем, или не выданы Получателю согласно\nПоручению, или не возращены на Склад в Возвратных коробках.\n1.13. Заказчик — одно из перечисленных в настоящей Оферте об оказании услуг в ПВЗ юридических лиц Группы\nкомпаний Вайлдберриз, зарегистрированное в юрисдикции страны по месту государственной регистрации Заказчика:\n1.13.1.', '1.12. Зависшие Товары — Товары, которые не приняты Исполнителем, или не выданы Получателю согласно\nПоручению, или не возращены на Склад в Возвратных коробках.\n1.13.', 'Заказчик предоставляет\nИсполнителю через Личный кабинет всю необходимую информацию о Доле Подмен Исполнителя, ее снижении или\nувеличении в течение периода оказания услуг Исполнителем в ПВЗ.\n1.12. Зависшие Товары — Товары, которые не приняты Исполнителем, или не выданы Получателю согласно\nПоручению, или не возращены на Склад в Возвратных коробках.\n1.13.', 'В отношении Зависших Товаров - совокупная Стоимость Зависших Товаров удерживается Заказчиком в\nслучае, если Исполнителем не был оспорен факт утери Товара в период его нахождения в ПВЗ Исполнителя в\nтечение 7 (семи) календарных дней с момента обнаружения Заказчиком Зависших Товаров и/или Исполнителем не\nбыло предоставлено Заказчику доказательств наличия Товара в период его нахождения в ПВЗ Исполнителя и\nвозврата на Склад.\n11.6.', 'внутри\nвскрытого, подготовленного и упакованного или имеющего следы стороннего скотча (в том числе скотча\nИсполнителя) Товара;\n7) выдача Исполнителем Товаров третьему лицу без подтверждения полномочий от Клиента и/или\nПеревозчика и/или Заказчика и/или Курьера.\nВ отношении Зависших Товаров - совокупная Стоимость Зависших Товаров удерживается Заказчиком в\nслучае, если Исполнителем не был оспорен факт утери Товара в период его нахождения в ПВЗ Исполнителя в\nтечение 7 (семи) календарных дней с момента обнаружения Заказчиком Зависших Товаров и/или Исполнителем не\nбыло предоставлено Заказчику доказательств наличия Товара в период его нахождения в ПВЗ Исполнителя и\nвозврата на Склад.\n11.6. Возмещение Исполнителем убытков и/или уплата неустойки (пени, штрафы) не освобождает его от\nустранения допущенных нарушений.\n12. Меры по урегулированию споров\nОспаривание штрафов и удержаний Исполнителем.\n12.1.', 'В отношении Зависших Товаров - совокупная Стоимость Зависших Товаров удерживается Заказчиком в\nслучае, если Исполнителем не был оспорен факт утери Товара в период его нахождения в ПВЗ Исполнителя в\nтечение 7 (семи) календарных дней с момента обнаружения Заказчиком', '1.27. Оферта — условия настоящей оферты об оказании услуг в ПВЗ, которая содержит все существенные\nусловия и принятие которой влечет заключение Договора на указанных в Оферте условиях.\n1.28. Перевозчик — лицо, осуществляющее перевозку Товаров по указанию Заказчика на основании договора\nтранспортной экспедиции / договора перевозки / договора оказания курьерских услуг или любого иного договора,\n\nпредусматривающего перевозку Товара.\n1.29. Подмена — направленный Исполнителем Заказчику Товар, который не соответствует Товару, указанному в\nсоответствующем Поручении Исполнителю (Заказчиком было зафиксировано несоответствие вложенного Товара в\nупаковке/таре/товарной упаковке Товару, указанному в Поручении).\n1.30. Получатель — физическое или юридическое лицо, или индивидуальный предприниматель, указываемые в\nПоручении в качестве адресата, получающего Товар. В качестве Получателя могут выступать Клиент, Продавец,\nЗаказчик, Перевозчик, Курьер, а также иные лица, привлеченные Заказчиком.\n1.31. Пользовательское соглашение — условия использования Портала и входящих в него сервисов.', 'Раздел 1. Термины и определения Оферты:\nРаздел Термины и определения Оферты об оказании услуг в ПВЗ дополняется следующими терминами и\nопределениями:\n1. Рекламные материалы — статический или динамический видеоряд, содержащий в себе рекламную\nинформацию от третьих лиц и предназначенный для трансляции на оборудовании. Исполнитель не является\nрекламораспространителем в рамках настоящего Приложения и не несет ответственности за распространение\nРекламных материалов. Все действия, связанные с трансляцией, размещением и распространением Рекламных\nматериалов, осуществляются исключительно Заказчиком или третьими лицами, привлеченными Заказчиком.\nИсполнитель не принимает на себя обязательств по контролю, проверке или модерации Рекламных материалов и не\nнесет ответственности за любые последствия, связанные с их распространением.\n2. Самореклама  — продвижение собственных продуктов, услуг, правил пользования, условий приобретения,\nхозяйственной деятельности, цен и скидок, акций и мероприятий Заказчика на оборудовании.\n3.', '1.43. Товар — товар(ы), предназначенный для передачи Заказчиком Продавцу, Продавцом Заказчику,\nПродавцом Клиенту, либо приобретённый Клиентом у Продавца по договору розничной купли-продажи,\nзаключенному дистанционным способом,', 'за Услуги,\nпредусмотренные Договором или в качестве оплаты за Товары по Договору или любые другие товары;\n2.']","Термин «Зависшие Товары» определяется в оферте следующим образом:

**Зависшие Товары — Товары, которые не приняты Исполнителем, или не выданы Получателю согласно Поручению, или не возращены на Склад в Возвратных коробках.**",0.75,0.8311350293848977,0.9821428571288265
